No Feedback;Tactile Feedback;Visual Feedback;Combined Feedback
78.53800000000001;32.656;51.120000000000005;42.38
40.671;26.159;25.597;30.935
57.331;27.0;22.368;41.03
55.05800000000001;29.663;37.073;26.608
53.376000000000005;41.215;25.239;28.872000000000003
69.31400000000001;30.968000000000004;22.999;23.702
31.39;47.344;23.448;30.719
57.563;34.884;21.648;34.224000000000004
37.704;29.655;29.497000000000003;25.87
42.442;30.056;25.055000000000003;25.64
62.544;27.022;26.264000000000003;27.184
35.567;46.791;36.359;25.871
27.232000000000003;32.615;19.296000000000003;23.537000000000003
42.624;32.791000000000004;21.471;22.079
43.799;26.572000000000003;21.967;26.191000000000003
27.839;36.336000000000006;23.839;25.783
40.673;34.479;23.639000000000003;20.8
43.634;26.647;28.671000000000003;27.479000000000003
38.119;57.056;56.05500000000001;22.326
41.0;23.365;31.9;22.768
24.376;46.470000000000006;22.728;23.168000000000003
38.839000000000006;31.808000000000003;35.141000000000005;50.765
28.406;23.1;30.14;57.64
38.32;43.279;28.405;48.262
42.263000000000005;72.90100000000001;25.284;47.879000000000005
31.791;89.694;30.407000000000004;44.887
33.080000000000005;36.07;21.943;38.561
29.223000000000003;45.496;21.607000000000003;32.623000000000005
51.903000000000006;33.760000000000005;28.646;42.31
30.151000000000003;37.512;29.008000000000003;30.121
35.528;26.519;23.359;27.983
40.735;50.143;29.286;35.488
31.856;52.997;27.487;34.553000000000004
41.856;42.174;34.183;44.119
33.658;25.576;23.352;34.655
32.319;40.07;32.160000000000004;28.806
25.136000000000003;38.807;32.615;33.343
39.631;24.604000000000003;54.127;27.688
32.327000000000005;57.663;31.853;29.24
31.174000000000003;29.988000000000003;25.655;28.359
50.288;28.495;32.32;32.279
31.692000000000004;26.376;32.232;38.23
30.198;27.646;47.823;48.661
36.119;29.877;36.816;21.695
33.671;23.422;73.84;27.216
33.446000000000005;27.831000000000003;32.295;33.416000000000004
24.287000000000003;22.927000000000003;36.479;32.743
23.408;47.870000000000005;46.09;35.751000000000005
28.616000000000003;30.232000000000003;50.462;29.727
26.783;49.879000000000005;31.511000000000003;43.129000000000005
35.391000000000005;36.127;33.503;21.184
28.136000000000003;42.576;28.552000000000003;25.702
21.663;46.615;28.591;42.359
28.807;45.871;59.155;52.111
33.671;28.582;46.040000000000006;34.855000000000004
28.751;24.39;39.904;22.806
23.51;25.552000000000003;33.896;23.215
91.92;23.559;53.456;33.256
20.119;38.831;34.871;44.215
26.520000000000003;27.792;28.344;35.176
36.687000000000005;23.775;30.311000000000003;34.087
35.441;28.504;24.776;25.263
70.88000000000001;36.959;27.015;43.319
34.695;39.502;38.857;47.855
31.064000000000004;29.55;32.807;29.359
28.144;27.336;28.247000000000003;27.719
33.768;33.056000000000004;26.983;29.111
36.632000000000005;28.200000000000003;46.649;39.32
27.684;42.195;30.094;32.392
52.856;29.191000000000003;33.04;33.863
32.844;47.855;31.535000000000004;27.855
40.175;38.6;28.56;30.119000000000003
28.261000000000003;34.847;32.918;40.103
37.328;29.968000000000004;34.352000000000004;28.688
26.429;41.879000000000005;30.431;33.63
30.351000000000003;34.264;41.318000000000005;25.98
46.152;31.576;28.687;28.703000000000003
22.724;34.687000000000005;28.631;28.447000000000003
80.367;27.984;31.552000000000003;31.311000000000003
23.319000000000003;27.872000000000003;27.345;28.992
44.336000000000006;36.416;30.912000000000003;35.334
49.698;32.63;31.376;27.056
29.583;27.383000000000003;27.968;27.383000000000003
26.463;33.071000000000005;47.615;24.078000000000003
44.56;46.638000000000005;57.466;41.026
31.644;72.632;68.703;35.908
41.575;43.383;50.494;67.927
42.023;44.823;61.31400000000001;69.807
35.565000000000005;41.784000000000006;59.328;35.583000000000006
32.599000000000004;35.599000000000004;40.720000000000006;32.232
46.440000000000005;38.671;51.577000000000005;35.248000000000005
39.664;38.719;60.81700000000001;37.68
36.824000000000005;39.096;46.63;34.183
40.999;33.64;33.406;34.415
33.184000000000005;46.367;38.375;24.915000000000003
44.518;51.269000000000005;45.667;30.687
38.185;44.704;42.344;25.200000000000003
29.712000000000003;43.524;53.907;39.503
37.655;52.752;67.58200000000001;35.52
