No Feedback;Tactile Feedback;Visual Feedback;Combined Feedback
73.02300000000001;29.450000000000003;45.543000000000006;38.167
34.747;23.837;22.486;27.086
54.514;23.652;20.038;38.611
52.633;26.468;33.918;23.725
50.048;39.508;22.826;24.492
66.212;29.204;21.158;20.555
28.664;45.088;21.329;28.290000000000003
54.637;32.489000000000004;19.935;31.567000000000004
34.809000000000005;27.737;27.574;22.6
40.015;27.443;23.172;22.503
55.699000000000005;22.128;23.863000000000003;24.637
32.127;44.781000000000006;34.483000000000004;23.589
24.896;30.901000000000003;17.544;21.581000000000003
39.889;30.729000000000003;19.718;19.861
40.944;23.743;20.176;24.007
24.99;33.963;22.17;23.127
38.114;32.025;21.97;18.233
40.456;23.81;24.391;25.707
35.11;54.798;50.053;18.471
38.472;20.359;25.662000000000003;20.688
21.536;44.182;20.27;20.667
34.385000000000005;26.770000000000003;29.455;45.580000000000005
25.033;19.847;26.527;53.655
34.359;40.535;22.994;44.742
38.298;69.818;22.079;42.88
28.871;86.59;27.338;41.002
28.933000000000003;33.080000000000005;18.754;34.113
26.180000000000003;41.656000000000006;18.731;28.345
47.837;30.209000000000003;25.102;38.195
27.009;32.494;25.507;26.207
32.202000000000005;23.848000000000003;19.631;23.879
38.088;46.566;26.624;31.456000000000003
29.147;48.563;23.579;29.935
38.118;38.0;30.360000000000003;40.066
30.524;22.461;20.012;30.630000000000003
28.309;36.307;28.977;24.573
21.719;35.281;28.808000000000003;29.428
36.188;21.257;50.568000000000005;24.377
28.986;53.545;28.202;25.842
28.148000000000003;25.659;22.273;25.059
46.951;24.758000000000003;29.055000000000003;28.679
28.537000000000003;22.781;29.309;35.207
26.702;23.652;44.744;44.433
34.198;27.042;33.318000000000005;19.768
31.860000000000003;20.444000000000003;70.694;25.772
31.557;26.011000000000003;27.239;31.124
22.467;21.383000000000003;32.673;30.566000000000003
21.22;46.001000000000005;42.606;33.785000000000004
24.743;28.214;46.202000000000005;27.587000000000003
23.853;47.719;27.993;41.076
32.635000000000005;33.803000000000004;30.524;19.256
25.688;39.55;25.587000000000003;23.535
20.142000000000003;45.077000000000005;25.934;40.38
27.003;44.205000000000005;56.185;48.147000000000006
31.515;26.353;40.254000000000005;32.120000000000005
26.101000000000003;22.022;36.708000000000006;21.264000000000003
20.561;23.558;30.378000000000004;21.501
89.286;21.367;48.934000000000005;27.56
17.740000000000002;36.807;31.902;39.029
23.196;37.387;25.387;31.576
34.288000000000004;23.344;27.591;29.113000000000003
33.089;25.851000000000003;22.364;22.179
67.906;34.182;23.611;40.815000000000005
31.289;36.906;35.457;44.996
28.875000000000004;26.714;30.401000000000003;25.977
25.808000000000003;25.011000000000003;25.906;25.146
31.593000000000004;30.57;24.487;25.839
34.167;26.123;44.189;36.609
25.167;39.995000000000005;27.622000000000003;29.093000000000004
50.651;26.533;30.194000000000003;30.179
28.064;45.713;28.262;24.283
36.418;34.106;25.735000000000003;27.666
24.993;32.655;30.117;37.063
33.927;26.903;31.617;26.073
23.933;38.518;27.747000000000003;31.241000000000003
27.629;31.587000000000003;38.781000000000006;22.3
43.718;28.129;26.123;25.486
20.395;32.214;25.025;25.789
78.408;25.312;28.741000000000003;28.268
21.537000000000003;24.387;24.418000000000003;25.824
42.993;33.836000000000006;27.977;33.157000000000004
47.573;30.186000000000003;28.457;24.361
27.216;25.065;24.752;24.118
23.9;30.614;44.615;21.502
39.704;38.948;53.072;37.545
28.015;68.994;65.037;33.0
38.282;40.275000000000006;47.458000000000006;65.03500000000001
33.826;41.154;55.722;66.821
32.585;37.615;47.952000000000005;31.807
28.791;30.514000000000003;36.839000000000006;28.12
42.404;33.328;48.507000000000005;32.462
35.339000000000006;35.531;56.572;33.79
32.22;35.312000000000005;41.065000000000005;30.438
37.304;26.554;27.496;31.346000000000004
29.063;41.893;33.547000000000004;22.227
40.891000000000005;45.991;41.126000000000005;26.981
33.165;39.470000000000006;38.260000000000005;22.025
24.831000000000003;39.563;48.727;36.834
32.913000000000004;48.79600000000001;62.595000000000006;32.017
