;Start;End;Duration;Duration_Seconds;Duration_Minutes
0;2022-08-01 14:14:00.581;2022-08-01 15:17:48.510;0 days 01:03:47.929000;3827;63.78333333333333
1;2022-08-02 07:13:19.816;2022-08-02 08:25:18.274;0 days 01:11:58.458000;4318;71.96666666666667
2;2022-08-04 13:56:09.719;2022-08-04 14:59:28.918;0 days 01:03:19.199000;3799;63.31666666666667
3;2022-08-05 09:13:16.709;2022-08-05 10:14:15.149;0 days 01:00:58.440000;3658;60.96666666666667
4;2022-08-05 11:55:33.495;2022-08-05 12:51:51.238;0 days 00:56:17.743000;3377;56.28333333333333
5;2022-08-06 10:28:55.754;2022-08-06 11:50:24.826;0 days 01:21:29.072000;4889;81.48333333333333
6;2022-08-08 07:23:19.132;2022-08-08 08:36:55.044;0 days 01:13:35.912000;4415;73.58333333333333
7;2022-08-08 11:56:42.017;2022-08-08 12:58:18.792;0 days 01:01:36.775000;3696;61.6
8;2022-08-09 11:08:09.794;2022-08-09 12:05:48.259;0 days 00:57:38.465000;3458;57.63333333333333
9;2022-08-09 14:26:03.719;2022-08-09 15:44:55.272;0 days 01:18:51.553000;4731;78.85
10;2022-08-10 12:08:59.680;2022-08-10 13:17:28.443;0 days 01:08:28.763000;4108;68.46666666666667
11;2022-08-10 14:34:06.246;2022-08-10 15:34:06.198;0 days 00:59:59.952000;3599;59.983333333333334
12;2022-08-10 16:35:15.417;2022-08-10 17:43:27.988;0 days 01:08:12.571000;4092;68.2
13;2022-08-11 09:20:46.969;2022-08-11 10:14:12.492;0 days 00:53:25.523000;3205;53.416666666666664
14;2022-08-11 11:48:40.178;2022-08-11 12:51:33.195;0 days 01:02:53.017000;3773;62.88333333333333
15;2022-08-12 09:32:15.906;2022-08-12 10:35:30.910;0 days 01:03:15.004000;3795;63.25
16;2022-08-12 11:49:47.178;2022-08-12 12:40:22.627;0 days 00:50:35.449000;3035;50.583333333333336
17;2022-08-15 14:02:55.927;2022-08-15 15:13:08.501;0 days 01:10:12.574000;4212;70.2
18;2022-08-18 15:31:16.300;2022-08-18 16:48:15.919;0 days 01:16:59.619000;4619;76.98333333333333
19;2022-08-22 07:25:53.595;2022-08-22 08:37:11.280;0 days 01:11:17.685000;4277;71.28333333333333
20;2022-08-23 07:25:42.204;2022-08-23 08:18:18.246;0 days 00:52:36.042000;3156;52.6
21;2022-08-23 10:25:06.739;2022-08-23 11:30:05.548;0 days 01:04:58.809000;3898;64.96666666666667
