;ProbandId;TrialNumber;Condition;ShowNumberCount;BlockId;LayerChangeCount;Difference
0;2;-8;Combined Feedback;20;;;
1;2;-7;Combined Feedback;7;;;
2;2;-6;Visual Feedback;12;;;
3;2;-5;Visual Feedback;9;;;
4;2;-4;Tactile Feedback;23;;;
5;2;-3;Tactile Feedback;8;;;
6;2;-2;No Feedback;13;;;
7;2;-1;No Feedback;12;;;
8;2;0;No Feedback;21;-4.0;60.0;39.0
9;2;0;No Feedback;21;-4.0;60.0;39.0
10;2;0;No Feedback;21;-3.0;60.0;39.0
11;2;0;No Feedback;21;-3.0;60.0;39.0
12;2;0;No Feedback;21;-2.0;60.0;39.0
13;2;0;No Feedback;21;-2.0;60.0;39.0
14;2;0;No Feedback;21;-1.0;60.0;39.0
15;2;0;No Feedback;21;-1.0;60.0;39.0
16;2;0;No Feedback;21;0.0;60.0;39.0
17;2;1;No Feedback;8;0.0;19.0;11.0
18;2;2;No Feedback;12;0.0;43.0;31.0
19;2;3;No Feedback;13;0.0;40.0;27.0
20;2;4;No Feedback;18;0.0;32.0;14.0
21;2;5;No Feedback;12;0.0;62.0;50.0
22;2;6;No Feedback;8;0.0;20.0;12.0
23;2;7;No Feedback;11;0.0;42.0;31.0
24;2;8;No Feedback;10;0.0;22.0;12.0
25;2;9;No Feedback;11;0.0;24.0;13.0
26;2;10;No Feedback;12;0.0;44.0;32.0
27;2;11;No Feedback;9;0.0;21.0;12.0
28;2;12;No Feedback;8;0.0;14.0;6.0
29;2;13;No Feedback;7;0.0;33.0;26.0
30;2;14;No Feedback;12;0.0;30.0;18.0
31;2;15;No Feedback;7;0.0;15.0;8.0
32;2;16;No Feedback;12;0.0;24.0;12.0
33;2;17;No Feedback;11;0.0;30.0;19.0
34;2;18;No Feedback;11;0.0;25.0;14.0
35;2;19;No Feedback;11;0.0;31.0;20.0
36;2;20;No Feedback;7;0.0;10.0;3.0
37;2;21;Combined Feedback;8;1.0;13.0;5.0
38;2;22;Combined Feedback;8;1.0;20.0;12.0
