No Feedback;Tactile Feedback;Visual Feedback;Combined Feedback
60;14;18;13
19;12;14;20
43;13;12;20
40;17;18;15
32;34;11;13
62;20;19;13
20;23;13;16
42;22;13;14
22;16;14;12
24;14;14;13
44;14;18;14
21;28;23;16
14;18;12;12
33;18;14;14
30;12;13;22
15;24;12;15
24;23;13;13
30;13;14;12
25;32;19;13
31;12;14;12
10;31;11;13
14;16;14;16
13;15;14;16
14;14;18;13
14;13;16;16
13;16;13;14
16;13;16;14
12;15;14;16
14;14;13;14
14;14;14;16
13;14;14;13
12;17;16;14
15;14;14;14
13;13;14;12
14;16;16;14
13;13;14;18
14;14;14;14
15;14;16;14
13;14;14;13
10;16;16;14
15;14;14;14
12;14;14;14
15;18;14;14
13;13;16;18
16;30;13;14
24;45;13;14
18;45;14;14
15;16;13;14
18;16;13;14
22;13;13;14
13;18;18;14
22;13;14;13
17;29;15;14
14;18;16;14
24;14;14;14
20;13;13;18
11;20;13;14
14;17;13;18
22;13;30;14
18;28;20;14
14;16;14;14
30;17;14;14
14;16;14;18
12;9;18;19
14;14;13;9
12;8;29;15
13;11;13;13
11;12;16;10
12;28;22;16
14;16;23;11
14;26;10;19
19;18;11;10
12;21;14;12
15;21;16;17
16;22;22;19
21;14;14;18
13;12;15;9
14;11;14;9
64;15;25;12
13;22;12;19
12;14;13;13
24;17;10;12
22;20;10;12
38;23;12;16
14;20;13;23
12;15;13;12
17;17;13;13
21;18;26;12
24;16;30;20
17;29;18;15
37;17;21;19
17;27;13;14
24;24;13;12
15;12;18;19
21;16;14;14
14;18;17;16
19;16;20;13
34;11;13;12
11;23;11;12
56;12;18;12
15;14;11;15
32;19;13;20
34;18;15;13
16;15;13;14
16;19;27;10
11;16;16;16
10;27;24;12
15;13;14;24
14;14;14;27
14;14;13;12
13;13;13;12
17;11;18;15
12;11;26;13
15;14;12;16
21;12;13;15
15;19;16;12
22;18;16;11
20;13;14;12
12;15;14;22
16;20;25;15
29;13;12;12
12;15;16;12
14;28;12;15
20;14;12;16
12;11;18;12
15;29;12;12
21;34;25;11
17;71;29;17
19;22;18;13
17;40;30;14
50;49;34;17
25;18;16;17
14;45;14;30
29;54;24;20
33;29;18;12
28;21;14;11
21;33;15;17
35;32;26;50
27;19;35;18
22;54;16;12
33;13;12;13
52;35;14;18
19;49;24;17
25;65;12;33
17;46;16;13
40;27;18;27
13;22;14;13
10;10;11;19
12;11;11;24
11;20;14;16
24;11;13;15
10;15;10;18
14;10;10;11
19;11;10;22
11;11;15;11
13;10;15;12
11;12;13;16
11;11;13;13
13;12;32;11
11;11;11;11
11;13;23;19
13;11;12;11
11;11;11;10
10;20;15;10
12;17;11;11
15;16;18;11
10;14;14;17
10;11;10;10
17;16;18;13
16;30;14;13
24;19;16;13
34;19;22;20
37;18;12;12
18;26;15;14
22;25;18;14
29;26;12;13
24;19;16;13
22;23;18;13
16;17;13;13
46;40;17;19
30;17;20;13
34;12;13;25
19;27;14;14
51;17;14;13
18;26;13;18
66;23;27;12
34;22;14;20
32;16;16;14
18;25;14;19
15;49;33;9
9;41;10;14
24;53;11;22
14;42;11;12
42;53;13;21
20;37;12;33
9;65;11;16
10;28;11;20
19;57;18;21
14;30;14;11
24;22;15;11
21;43;19;15
32;32;12;11
16;18;16;20
16;30;21;26
27;13;11;11
16;22;10;30
41;22;18;13
11;24;22;20
36;62;30;28
33;24;11;19
18;28;22;22
21;15;16;26
26;14;16;14
33;22;14;14
16;17;14;18
12;24;14;26
14;13;16;14
28;24;16;20
13;15;14;14
22;34;22;21
12;16;14;22
13;15;13;15
14;28;22;18
17;20;19;14
17;16;25;26
13;13;19;15
15;14;17;14
20;22;18;20
12;18;14;20
17;21;16;15
13;18;13;20
14;18;16;12
17;18;16;28
30;24;15;18
19;14;16;14
16;27;18;12
22;18;28;13
17;22;17;26
30;22;22;14
16;14;14;16
18;20;14;16
29;15;17;15
26;18;18;13
20;25;13;14
24;16;14;16
28;24;14;14
21;14;27;13
21;21;13;22
28;27;20;28
30;48;12;13
22;28;13;13
26;36;18;16
20;20;11;11
29;15;12;16
30;13;19;17
13;19;16;18
24;18;15;14
19;43;22;11
12;16;18;12
15;25;13;17
36;22;19;10
18;11;16;12
33;13;16;11
14;15;12;11
19;38;15;16
15;31;12;14
14;15;16;14
32;14;20;14
89;22;18;11
18;27;22;17
20;25;12;18
12;21;16;10
25;31;16;10
14;31;12;27
25;10;17;10
17;18;17;12
19;20;13;11
21;13;11;14
20;34;12;14
18;23;28;16
24;24;19;17
28;36;16;16
53;13;14;30
20;39;17;18
46;19;12;25
17;21;14;20
15;10;15;12
14;27;13;10
35;34;20;13
26;28;12;16
42;12;15;11
12;20;21;11
22;35;12;12
12;14;21;11
25;29;14;16
49;24;26;26
53;25;14;19
34;42;16;13
23;32;14;13
48;27;13;17
32;40;16;24
21;21;15;21
31;29;22;18
35;74;14;13
26;14;24;19
39;15;20;15
33;24;26;13
26;26;16;26
19;20;14;27
18;32;28;18
40;17;13;24
28;22;14;12
32;40;14;31
36;18;14;34
34;16;20;16
14;18;14;14
18;14;14;14
14;14;16;13
23;24;22;14
24;19;14;14
14;29;14;20
15;16;14;14
14;13;14;16
14;16;14;14
14;29;21;14
14;27;22;20
18;39;13;19
23;13;14;17
14;14;14;18
47;19;14;19
14;13;14;16
30;20;13;22
22;28;14;30
14;14;13;15
27;16;14;15
13;14;14;21
14;14;19;24
19;38;11;12
17;27;12;13
12;26;12;12
15;46;13;24
12;22;12;13
18;17;12;29
