;ShowIndex;ShowDate;HideIndex;HideDate;Condition;TrialNumber;Layer;ResultLayer;BlockId;ProbandId;LastLayerChangeDate;LastLayerChangeIndex;Duration_ShowNumber;Duration_FindCenter
0;1970;2022-08-01 13:59:37.537;2017.0;2022-08-01 13:59:38.947;Combined Feedback;-8;2;3;-4;2;2022-08-01 13:59:35.978;1918;1.4100000000000001;1.5590000000000002
1;2328;2022-08-01 13:59:48.273;2330.0;2022-08-01 13:59:48.336;Combined Feedback;-8;1;3;-4;2;2022-08-01 13:59:46.721;2276;0.063;1.552
2;2362;2022-08-01 13:59:49.338;2415.0;2022-08-01 13:59:50.891;Combined Feedback;-8;2;3;-4;2;2022-08-01 13:59:48.524;2336;1.5530000000000002;0.8140000000000001
3;2449;2022-08-01 13:59:51.920;2450.0;2022-08-01 13:59:51.953;Combined Feedback;-8;3;3;-4;2;2022-08-01 13:59:51.142;2423;0.033;0.778
4;3012;2022-08-01 14:00:08.825;3022.0;2022-08-01 14:00:09.123;Combined Feedback;-8;2;3;-4;2;2022-08-01 14:00:07.801;2978;0.29800000000000004;1.024
5;3134;2022-08-01 14:00:12.481;3136.0;2022-08-01 14:00:12.544;Combined Feedback;-8;1;3;-4;2;2022-08-01 14:00:11.162;3090;0.063;1.3190000000000002
6;3327;2022-08-01 14:00:18.263;3335.0;2022-08-01 14:00:18.513;Combined Feedback;-8;1;3;-4;2;2022-08-01 14:00:16.502;3268;0.25;1.7610000000000001
7;3361;2022-08-01 14:00:19.291;3416.0;2022-08-01 14:00:20.940;Combined Feedback;-8;1;3;-4;2;2022-08-01 14:00:16.502;3268;1.649;2.789
8;3493;2022-08-01 14:00:23.257;3541.0;2022-08-01 14:00:24.688;Combined Feedback;-8;2;3;-4;2;2022-08-01 14:00:21.551;3436;1.431;1.7060000000000002
9;3714;2022-08-01 14:00:29.881;3763.0;2022-08-01 14:00:31.346;Combined Feedback;-8;5;3;-4;2;2022-08-01 14:00:29.071;3687;1.465;0.81
10;3800;2022-08-01 14:00:32.465;3861.0;2022-08-01 14:00:34.285;Combined Feedback;-8;6;3;-4;2;2022-08-01 14:00:31.594;3771;1.82;0.8710000000000001
11;4018;2022-08-01 14:00:39.010;4075.0;2022-08-01 14:00:40.714;Combined Feedback;-8;7;3;-4;2;2022-08-01 14:00:35.500;3901;1.7040000000000002;3.5100000000000002
12;4479;2022-08-01 14:00:52.831;4509.0;2022-08-01 14:00:53.732;Combined Feedback;-8;2;3;-4;2;2022-08-01 14:00:52.146;4456;0.901;0.685
13;4777;2022-08-01 14:01:01.792;4812.0;2022-08-01 14:01:02.836;Combined Feedback;-8;2;3;-4;2;2022-08-01 14:01:00.985;4750;1.044;0.807
14;4956;2022-08-01 14:01:07.157;4998.0;2022-08-01 14:01:08.421;Combined Feedback;-8;4;3;-4;2;2022-08-01 14:01:03.120;4821;1.264;4.037
15;5058;2022-08-01 14:01:10.226;5100.0;2022-08-01 14:01:11.487;Combined Feedback;-8;5;3;-4;2;2022-08-01 14:01:09.234;5025;1.2610000000000001;0.9920000000000001
16;5224;2022-08-01 14:01:15.208;5277.0;2022-08-01 14:01:16.793;Combined Feedback;-8;6;3;-4;2;2022-08-01 14:01:11.907;5114;1.5850000000000002;3.301
17;5353;2022-08-01 14:01:19.071;5356.0;2022-08-01 14:01:19.164;Combined Feedback;-8;7;3;-4;2;2022-08-01 14:01:17.030;5285;0.093;2.041
18;5560;2022-08-01 14:01:25.281;5570.0;2022-08-01 14:01:25.577;Combined Feedback;-8;4;3;-4;2;2022-08-01 14:01:23.726;5508;0.29600000000000004;1.5550000000000002
19;5605;2022-08-01 14:01:26.653;5620.0;2022-08-01 14:01:27.088;Combined Feedback;-8;4;3;-4;2;2022-08-01 14:01:23.726;5508;0.43500000000000005;2.927
20;6574;2022-08-01 14:01:55.715;6607.0;2022-08-01 14:01:56.710;Combined Feedback;-7;2;7;-4;2;2022-08-01 14:01:52.955;6482;0.9950000000000001;2.7600000000000002
21;6803;2022-08-01 14:02:02.582;6835.0;2022-08-01 14:02:03.547;Combined Feedback;-7;2;7;-4;2;2022-08-01 14:02:00.635;6738;0.9650000000000001;1.947
22;6880;2022-08-01 14:02:04.913;6897.0;2022-08-01 14:02:05.426;Combined Feedback;-7;3;7;-4;2;2022-08-01 14:02:03.751;6841;0.513;1.1620000000000001
23;6920;2022-08-01 14:02:06.106;6941.0;2022-08-01 14:02:06.734;Combined Feedback;-7;3;7;-4;2;2022-08-01 14:02:03.751;6841;0.628;2.355
24;7041;2022-08-01 14:02:09.737;7076.0;2022-08-01 14:02:10.793;Combined Feedback;-7;4;7;-4;2;2022-08-01 14:02:07.903;6980;1.056;1.834
25;7120;2022-08-01 14:02:12.102;7218.0;2022-08-01 14:02:15.045;Combined Feedback;-7;5;7;-4;2;2022-08-01 14:02:11.155;7088;2.943;0.9470000000000001
26;7261;2022-08-01 14:02:16.345;7357.0;2022-08-01 14:02:19.215;Combined Feedback;-7;6;7;-4;2;2022-08-01 14:02:15.471;7232;2.87;0.874
27;8028;2022-08-01 14:02:39.350;8034.0;2022-08-01 14:02:39.537;Visual Feedback;-6;2;2;-3;2;2022-08-01 14:02:38.212;7990;0.187;1.1380000000000001
28;8418;2022-08-01 14:02:51.060;8444.0;2022-08-01 14:02:51.836;Visual Feedback;-6;1;2;-3;2;2022-08-01 14:02:50.388;8396;0.776;0.672
29;8530;2022-08-01 14:02:54.434;8586.0;2022-08-01 14:02:56.101;Visual Feedback;-6;2;2;-3;2;2022-08-01 14:02:53.206;8490;1.667;1.228
30;8630;2022-08-01 14:02:57.407;8646.0;2022-08-01 14:02:57.890;Visual Feedback;-6;3;2;-3;2;2022-08-01 14:02:56.337;8594;0.48300000000000004;1.07
31;8736;2022-08-01 14:03:00.599;8788.0;2022-08-01 14:03:02.157;Visual Feedback;-6;4;2;-3;2;2022-08-01 14:02:59.633;8704;1.558;0.9660000000000001
32;8861;2022-08-01 14:03:04.350;8881.0;2022-08-01 14:03:04.957;Visual Feedback;-6;5;2;-3;2;2022-08-01 14:03:02.669;8805;0.607;1.681
33;8942;2022-08-01 14:03:06.781;8973.0;2022-08-01 14:03:07.716;Visual Feedback;-6;5;2;-3;2;2022-08-01 14:03:02.669;8805;0.935;4.112
34;9016;2022-08-01 14:03:09.005;9041.0;2022-08-01 14:03:09.765;Visual Feedback;-6;6;2;-3;2;2022-08-01 14:03:08.101;8986;0.76;0.904
35;9362;2022-08-01 14:03:19.392;9427.0;2022-08-01 14:03:21.341;Visual Feedback;-6;3;2;-3;2;2022-08-01 14:03:17.082;9285;1.949;2.31
36;9469;2022-08-01 14:03:22.601;9471.0;2022-08-01 14:03:22.663;Visual Feedback;-6;4;2;-3;2;2022-08-01 14:03:21.683;9438;0.062000000000000006;0.918
37;9780;2022-08-01 14:03:31.937;9839.0;2022-08-01 14:03:33.711;Visual Feedback;-6;1;2;-3;2;2022-08-01 14:03:31.205;9756;1.774;0.7320000000000001
38;9905;2022-08-01 14:03:35.692;9967.0;2022-08-01 14:03:37.550;Visual Feedback;-6;2;2;-3;2;2022-08-01 14:03:34.039;9850;1.858;1.653
39;10408;2022-08-01 14:03:50.811;10455.0;2022-08-01 14:03:52.199;Visual Feedback;-5;1;4;-3;2;2022-08-01 14:03:49.767;10374;1.3880000000000001;1.044
40;10565;2022-08-01 14:03:55.506;10607.0;2022-08-01 14:03:56.755;Visual Feedback;-5;2;4;-3;2;2022-08-01 14:03:53.369;10494;1.249;2.137
41;10760;2022-08-01 14:04:01.345;10800.0;2022-08-01 14:04:02.548;Visual Feedback;-5;3;4;-3;2;2022-08-01 14:03:57.190;10621;1.203;4.155
42;10867;2022-08-01 14:04:04.561;10876.0;2022-08-01 14:04:04.839;Visual Feedback;-5;4;4;-3;2;2022-08-01 14:04:03.155;10820;0.278;1.4060000000000001
43;10972;2022-08-01 14:04:07.713;11024.0;2022-08-01 14:04:09.280;Visual Feedback;-5;5;4;-3;2;2022-08-01 14:04:06.812;10942;1.5670000000000002;0.901
44;11105;2022-08-01 14:04:11.705;11209.0;2022-08-01 14:04:14.835;Visual Feedback;-5;6;4;-3;2;2022-08-01 14:04:09.933;11046;3.1300000000000003;1.772
45;11411;2022-08-01 14:04:20.888;11444.0;2022-08-01 14:04:21.885;Visual Feedback;-5;2;4;-3;2;2022-08-01 14:04:17.922;11312;0.9970000000000001;2.966
46;11481;2022-08-01 14:04:22.989;11545.0;2022-08-01 14:04:24.905;Visual Feedback;-5;3;4;-3;2;2022-08-01 14:04:22.181;11454;1.9160000000000001;0.808
47;11589;2022-08-01 14:04:26.228;11641.0;2022-08-01 14:04:27.783;Visual Feedback;-5;4;4;-3;2;2022-08-01 14:04:25.124;11552;1.5550000000000002;1.104
48;13297;2022-08-01 14:05:17.486;13301.0;2022-08-01 14:05:17.613;Tactile Feedback;-4;3;6;-2;2;2022-08-01 14:05:15.933;13245;0.127;1.5530000000000002
