;BlockId;CommitResultDate;Condition;EndInteractionDate;ExpectedResultLayer;ExpectedResultNumber;LayerNumberConfiguration;ProbandId;ProvidedResultLayer;ProvidedResultNumber;StartDate;Training;TrialId;file;StartDate_DT;CommitResultDate_DT;EndInteractionDate_DT;TrialNumber;CleanedUpInteractionStart_DT;CleanedUpInteractionEnd_DT;ResultNumberDifference;ResultLayerDifference;ResultLayerCorrect;ResultNumberCorrect;DurationMS;DurationMS_Cleaned;countCondition;LayerChange;Duration_ShowNumber_x;Duration_ShowNumber_y;Duration_FindCenter_x;Duration_FindCenter_y
0;-4;2022-08-01T14:01:37.953Z;Combined Feedback;2022-08-01T14:01:30.874Z;3;176;[131, 144, 176, 153, 147, 135, 114];2;2;153;2022-08-01T13:59:15.117Z;True;0;P02_2022-08-01;2022-08-01 13:59:15.117;2022-08-01 14:01:37.953;2022-08-01 14:01:30.874;0;2022-08-01 13:59:15.117;2022-08-01 14:01:30.874;-23;-1;False;False;135.757;135.757;0;60;21;0.772142857142857;21;1.0361428571428568
1;-4;2022-08-01T14:02:26.995Z;Combined Feedback;2022-08-01T14:02:22.682Z;7;158;[149, 118, 145, 137, 147, 146, 158];2;4;147;2022-08-01T14:01:37.954Z;True;1;P02_2022-08-01;2022-08-01 14:01:37.954;2022-08-01 14:02:26.995;2022-08-01 14:02:22.682;0;2022-08-01 14:01:37.954;2022-08-01 14:02:22.682;-11;-3;False;False;44.728;44.728;1;60;21;0.772142857142857;21;1.0361428571428568
2;-3;2022-08-01T14:03:44.338Z;Visual Feedback;2022-08-01T14:03:39.613Z;2;161;[150, 161, 134, 151, 128, 149, 127];2;2;161;2022-08-01T14:02:33.306Z;True;0;P02_2022-08-01;2022-08-01 14:02:33.306;2022-08-01 14:03:44.338;2022-08-01 14:03:39.613;0;2022-08-01 14:02:33.306;2022-08-01 14:03:39.613;0;0;True;True;66.307;66.307;0;60;21;0.772142857142857;21;1.0361428571428568
3;-3;2022-08-01T14:04:34.107Z;Visual Feedback;2022-08-01T14:04:29.378Z;4;150;[132, 144, 148, 150, 149, 147, 130];2;4;150;2022-08-01T14:03:44.339Z;True;1;P02_2022-08-01;2022-08-01 14:03:44.339;2022-08-01 14:04:34.107;2022-08-01 14:04:29.378;0;2022-08-01 14:03:44.339;2022-08-01 14:04:29.378;0;0;True;True;45.039;45.039;1;60;21;0.772142857142857;21;1.0361428571428568
4;-2;2022-08-01T14:07:33.355Z;Tactile Feedback;2022-08-01T14:07:23.779Z;6;160;[139, 144, 128, 136, 156, 160, 137];2;3;160;2022-08-01T14:05:08.405Z;True;0;P02_2022-08-01;2022-08-01 14:05:08.405;2022-08-01 14:07:33.355;2022-08-01 14:07:23.779;0;2022-08-01 14:05:08.405;2022-08-01 14:07:23.779;0;-3;False;True;135.374;135.374;0;60;21;0.772142857142857;21;1.0361428571428568
5;-2;2022-08-01T14:08:38.514Z;Tactile Feedback;2022-08-01T14:08:34.874Z;4;162;[139, 140, 144, 162, 121, 154, 141];2;4;160;2022-08-01T14:07:33.356Z;True;1;P02_2022-08-01;2022-08-01 14:07:33.356;2022-08-01 14:08:38.514;2022-08-01 14:08:34.874;0;2022-08-01 14:07:33.356;2022-08-01 14:08:34.874;-2;0;True;False;61.518;61.518;1;60;21;0.772142857142857;21;1.0361428571428568
6;-1;2022-08-01T14:11:45.027Z;No Feedback;2022-08-01T14:11:41.430Z;4;163;[141, 135, 126, 163, 145, 144, 146];2;4;163;2022-08-01T14:09:58.670Z;True;0;P02_2022-08-01;2022-08-01 14:09:58.670;2022-08-01 14:11:45.027;2022-08-01 14:11:41.430;0;2022-08-01 14:09:58.670;2022-08-01 14:11:41.430;0;0;True;True;102.76;102.76;0;60;21;0.772142857142857;21;1.0361428571428568
7;-1;2022-08-01T14:12:39.587Z;No Feedback;2022-08-01T14:12:35.773Z;3;167;[131, 138, 167, 143, 151, 141, 129];2;3;167;2022-08-01T14:11:45.029Z;True;1;P02_2022-08-01;2022-08-01 14:11:45.029;2022-08-01 14:12:39.587;2022-08-01 14:12:35.773;0;2022-08-01 14:11:45.029;2022-08-01 14:12:35.773;0;0;True;True;50.744;50.744;1;60;21;0.772142857142857;21;1.0361428571428568
8;0;2022-08-01T14:15:22.795Z;No Feedback;2022-08-01T14:15:19.119Z;5;166;[136, 147, 130, 139, 166, 150, 132];2;5;166;2022-08-01T14:14:00.581Z;False;0;P02_2022-08-01;2022-08-01 14:14:00.581;2022-08-01 14:15:22.795;2022-08-01 14:15:19.119;0;2022-08-01 14:14:05.504;2022-08-01 14:15:18.527;0;0;True;True;78.53800000000001;73.02300000000001;2;60;21;0.772142857142857;21;1.0361428571428568
9;0;2022-08-01T14:16:08.915Z;No Feedback;2022-08-01T14:16:03.467Z;3;165;[122, 147, 165, 150, 129, 138, 149];2;3;165;2022-08-01T14:15:22.796Z;False;1;P02_2022-08-01;2022-08-01 14:15:22.796;2022-08-01 14:16:08.915;2022-08-01 14:16:03.467;1;2022-08-01 14:15:26.143;2022-08-01 14:16:00.890;0;0;True;True;40.671;34.747;3;19;8;1.0662500000000001;8;1.59625
