;ProbandId;BlockId;Condition;ConditionId;ResultLayerDifference;ResultLayerDifference_Abs;ResultLayerDifference_Proz;BothCorrect;OneCorrect;NoneCorrect;ResultLayerCorrectCount;ResultLayerCorrectRatio;ResultNumberCorrectCount;ResultNumberCorrectRatio;ResultLayerDifferenceRatio;ResultLayerDifferenceRatio_Abs;ResultLayerDifferenceRatio_Proz;ResultLayerErrorCount;ResultNumberErrorCount;ResultErrorLayerANDNumber;ResultErrorLayerXORNumber;ResultErrorLayerORNumber;TrialDurationMeanS
4;2;0;No Feedback;0;-1;1;0.14285714285714285;20;1;0;20;0.9523809523809523;21;1.0;-0.047619047619047616;0.047619047619047616;0.006802721088435374;1;0;0;1;1;41.97785714285713
5;2;1;Combined Feedback;3;-2;2;0.2857142857142857;18;3;0;19;0.9047619047619048;20;0.9523809523809523;-0.09523809523809523;0.09523809523809523;0.013605442176870748;2;1;0;3;3;24.67447619047619
6;2;2;Visual Feedback;2;-2;2;0.2857142857142857;18;3;0;19;0.9047619047619048;20;0.9523809523809523;-0.09523809523809523;0.09523809523809523;0.013605442176870748;2;1;0;3;3;25.63233333333333
7;2;3;Tactile Feedback;1;1;3;0.42857142857142855;19;1;1;19;0.9047619047619048;20;0.9523809523809523;0.047619047619047616;0.14285714285714285;0.02040816326530612;2;1;1;1;2;31.728333333333335
12;4;0;Combined Feedback;3;0;0;0.0;21;0;0;21;1.0;21;1.0;0.0;0.0;0.0;0;0;0;0;0;33.516666666666666
13;4;1;Visual Feedback;2;0;0;0.0;21;0;0;21;1.0;21;1.0;0.0;0.0;0.0;0;0;0;0;0;26.37547619047619
14;4;2;No Feedback;0;0;0;0.0;21;0;0;21;1.0;21;1.0;0.0;0.0;0.0;0;0;0;0;0;32.277238095238104
15;4;3;Tactile Feedback;1;0;0;0.0;20;1;0;21;1.0;20;0.9523809523809523;0.0;0.0;0.0;0;1;0;1;1;37.14404761904761
20;5;0;Visual Feedback;2;4;4;0.5714285714285714;17;3;1;19;0.9047619047619048;18;0.8571428571428571;0.19047619047619047;0.19047619047619047;0.027210884353741496;2;3;1;3;4;35.753714285714295
21;5;1;Tactile Feedback;1;1;7;0.9999999999999999;17;1;3;17;0.8095238095238095;18;0.8571428571428571;0.047619047619047616;0.3333333333333333;0.047619047619047616;4;3;3;1;4;31.141523809523814
