;ProbandId;ConditionId;Condition;Visual;Tactile;ResultLayerCorrect;ResultLayerCorrect;ResultLayerCorrect;ResultLayerCorrect;ResultLayerCorrect;ResultLayerCorrect;ResultLayerCorrect;ResultLayerCorrect;ResultLayerCorrect;ResultLayerCorrect;ResultLayerCorrect;ResultLayerCorrect;ResultLayerCorrect;ResultLayerCorrect;ResultLayerCorrect;ResultLayerCorrect;ResultLayerCorrect;ResultLayerCorrect;ResultLayerCorrect;ResultLayerCorrect;ResultLayerCorrect;ResultLayerDifference;ResultLayerDifference;ResultLayerDifference;ResultLayerDifference;ResultLayerDifference;ResultLayerDifference;ResultLayerDifference;ResultLayerDifference;ResultLayerDifference;ResultLayerDifference;ResultLayerDifference;ResultLayerDifference;ResultLayerDifference;ResultLayerDifference;ResultLayerDifference;ResultLayerDifference;ResultLayerDifference;ResultLayerDifference;ResultLayerDifference;ResultLayerDifference;ResultLayerDifference;ResultLayerDifference_Abs;ResultLayerDifference_Abs;ResultLayerDifference_Abs;ResultLayerDifference_Abs;ResultLayerDifference_Abs;ResultLayerDifference_Abs;ResultLayerDifference_Abs;ResultLayerDifference_Abs;ResultLayerDifference_Abs;ResultLayerDifference_Abs;ResultLayerDifference_Abs;ResultLayerDifference_Abs;ResultLayerDifference_Abs;ResultLayerDifference_Abs;ResultLayerDifference_Abs;ResultLayerDifference_Abs;ResultLayerDifference_Abs;ResultLayerDifference_Abs;ResultLayerDifference_Abs;ResultLayerDifference_Abs;ResultLayerDifference_Abs;ResultLayerDifference_Proz;ResultLayerDifference_Proz;ResultLayerDifference_Proz;ResultLayerDifference_Proz;ResultLayerDifference_Proz;ResultLayerDifference_Proz;ResultLayerDifference_Proz;ResultLayerDifference_Proz;ResultLayerDifference_Proz;ResultLayerDifference_Proz;ResultLayerDifference_Proz;ResultLayerDifference_Proz;ResultLayerDifference_Proz;ResultLayerDifference_Proz;ResultLayerDifference_Proz;ResultLayerDifference_Proz;ResultLayerDifference_Proz;ResultLayerDifference_Proz;ResultLayerDifference_Proz;ResultLayerDifference_Proz;ResultLayerDifference_Proz;ResultNumberCorrect;ResultNumberCorrect;ResultNumberCorrect;ResultNumberCorrect;ResultNumberCorrect;ResultNumberCorrect;ResultNumberCorrect;ResultNumberCorrect;ResultNumberCorrect;ResultNumberCorrect;ResultNumberCorrect;ResultNumberCorrect;ResultNumberCorrect;ResultNumberCorrect;ResultNumberCorrect;ResultNumberCorrect;ResultNumberCorrect;ResultNumberCorrect;ResultNumberCorrect;ResultNumberCorrect;ResultNumberCorrect;ResultNumberDifference;ResultNumberDifference;ResultNumberDifference;ResultNumberDifference;ResultNumberDifference;ResultNumberDifference;ResultNumberDifference;ResultNumberDifference;ResultNumberDifference;ResultNumberDifference;ResultNumberDifference;ResultNumberDifference;ResultNumberDifference;ResultNumberDifference;ResultNumberDifference;ResultNumberDifference;ResultNumberDifference;ResultNumberDifference;ResultNumberDifference;ResultNumberDifference;ResultNumberDifference;TrialDurationS;TrialDurationS;TrialDurationS;TrialDurationS;TrialDurationS;TrialDurationS;TrialDurationS;TrialDurationS;TrialDurationS;TrialDurationS;TrialDurationS;TrialDurationS;TrialDurationS;TrialDurationS;TrialDurationS;TrialDurationS;TrialDurationS;TrialDurationS;TrialDurationS;TrialDurationS;TrialDurationS;LayerChangeCount;LayerChangeCount;LayerChangeCount;LayerChangeCount;LayerChangeCount;LayerChangeCount;LayerChangeCount;LayerChangeCount;LayerChangeCount;LayerChangeCount;LayerChangeCount;LayerChangeCount;LayerChangeCount;LayerChangeCount;LayerChangeCount;LayerChangeCount;LayerChangeCount;LayerChangeCount;LayerChangeCount;LayerChangeCount;LayerChangeCount;ShowNumberCount;ShowNumberCount;ShowNumberCount;ShowNumberCount;ShowNumberCount;ShowNumberCount;ShowNumberCount;ShowNumberCount;ShowNumberCount;ShowNumberCount;ShowNumberCount;ShowNumberCount;ShowNumberCount;ShowNumberCount;ShowNumberCount;ShowNumberCount;ShowNumberCount;ShowNumberCount;ShowNumberCount;ShowNumberCount;ShowNumberCount;ShowNumberDurationMS;ShowNumberDurationMS;ShowNumberDurationMS;ShowNumberDurationMS;ShowNumberDurationMS;ShowNumberDurationMS;ShowNumberDurationMS;ShowNumberDurationMS;ShowNumberDurationMS;ShowNumberDurationMS;ShowNumberDurationMS;ShowNumberDurationMS;ShowNumberDurationMS;ShowNumberDurationMS;ShowNumberDurationMS;ShowNumberDurationMS;ShowNumberDurationMS;ShowNumberDurationMS;ShowNumberDurationMS;ShowNumberDurationMS;ShowNumberDurationMS;CenterDurationMS;CenterDurationMS;CenterDurationMS;CenterDurationMS;CenterDurationMS;CenterDurationMS;CenterDurationMS;CenterDurationMS;CenterDurationMS;CenterDurationMS;CenterDurationMS;CenterDurationMS;CenterDurationMS;CenterDurationMS;CenterDurationMS;CenterDurationMS;CenterDurationMS;CenterDurationMS;CenterDurationMS;CenterDurationMS;CenterDurationMS
TrialId;;;;;;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
0;2;3;Combined Feedback;1;1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38.167;27.086;38.611;23.725;24.492;20.555;28.290000000000003;31.567000000000004;22.6;22.503;24.637;23.589;21.581000000000003;19.861;24.007;23.127;18.233;25.707;18.471;20.688;20.667;13.0;20.0;20.0;15.0;13.0;13.0;16.0;14.0;12.0;13.0;14.0;16.0;12.0;14.0;22.0;15.0;13.0;12.0;13.0;12.0;13.0;8.0;8.0;10.0;8.0;7.0;9.0;8.0;8.0;8.0;7.0;8.0;7.0;7.0;7.0;8.0;8.0;7.0;10.0;7.0;7.0;8.0;1676.25;1361.625;1336.9;1111.875;1294.5714285714284;914.3333333333333;1492.6249999999998;2045.0;1151.25;1335.7142857142853;1259.125;1434.857142857143;1367.142857142857;1161.857142857143;864.2500000000001;993.375;817.4285714285716;1163.7;1029.2857142857144;1046.0;876.2500000000001;1757.875;1243.5;1785.0000000000002;1583.875;1622.0;1457.2222222222222;1660.5;1278.8750000000002;1265.25;1202.4285714285713;1425.5000000000002;1301.2857142857144;1366.857142857143;1057.1428571428569;1086.75;1290.0;991.0000000000002;1620.1000000000001;1141.7142857142858;1222.2857142857144;1545.2500000000002
1;2;0;No Feedback;0;0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73.02300000000001;34.747;54.514;52.633;50.048;66.212;28.664;54.637;34.809000000000005;40.015;55.699000000000005;32.127;24.896;39.889;40.944;24.99;38.114;40.456;35.11;38.472;21.536;60.0;19.0;43.0;40.0;32.0;62.0;20.0;42.0;22.0;24.0;44.0;21.0;14.0;33.0;30.0;15.0;24.0;30.0;25.0;31.0;10.0;21.0;8.0;12.0;13.0;18.0;12.0;8.0;11.0;10.0;11.0;12.0;9.0;8.0;7.0;12.0;7.0;12.0;11.0;11.0;11.0;7.0;772.142857142857;1066.2500000000002;841.1666666666666;470.3076923076923;511.61111111111114;404.75;610.875;476.63636363636357;931.2000000000002;397.18181818181824;739.0833333333333;536.2222222222223;741.6250000000001;693.5714285714287;591.6666666666666;417.4285714285714;656.1666666666666;656.3636363636364;475.8181818181819;647.2727272727274;845.7142857142859;1036.1428571428569;1596.25;1249.4166666666665;1111.2307692307693;1508.388888888889;1115.8333333333333;1197.8750000000002;990.5454545454545;1542.3000000000002;1584.818181818182;1413.25;1029.2222222222222;1293.5;1199.142857142857;1810.1666666666665;1154.5714285714284;1618.25;1614.818181818182;1459.727272727273;1054.181818181818;1163.0
2;2;1;Tactile Feedback;0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.2857142857142857;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-10.0;0.0;29.450000000000003;23.837;23.652;26.468;39.508;29.204;45.088;32.489000000000004;27.737;27.443;22.128;44.781000000000006;30.901000000000003;30.729000000000003;23.743;33.963;32.025;23.81;54.798;20.359;44.182;14.0;12.0;13.0;17.0;34.0;20.0;23.0;22.0;16.0;14.0;14.0;28.0;18.0;18.0;12.0;24.0;23.0;13.0;32.0;12.0;31.0;7.0;8.0;7.0;7.0;9.0;7.0;9.0;9.0;7.0;7.0;8.0;9.0;7.0;7.0;7.0;10.0;8.0;7.0;10.0;8.0;9.0;1021.2857142857143;757.875;1491.4285714285713;1270.4285714285713;795.0;815.7142857142858;1106.5555555555554;961.5555555555558;949.8571428571429;1132.857142857143;738.75;1400.3333333333335;1140.7142857142856;1329.1428571428573;1777.571428571429;1556.8000000000002;1111.625;1194.0000000000002;1358.6000000000001;768.25;824.7777777777778;1624.2857142857142;1621.5000000000002;1078.5714285714287;1164.0;1189.0;1334.9999999999998;1318.3333333333335;1021.5555555555555;1081.5714285714287;1254.1428571428573;1212.3750000000002;1518.3333333333335;1492.8571428571427;1298.142857142857;1185.142857142857;1047.4999999999998;1546.125;1472.142857142857;1393.6000000000001;1425.875;1200.4444444444443
3;2;2;Visual Feedback;1;0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.543000000000006;22.486;20.038;33.918;22.826;21.158;21.329;19.935;27.574;23.172;23.863000000000003;34.483000000000004;17.544;19.718;20.176;22.17;21.97;24.391;50.053;25.662000000000003;20.27;18.0;14.0;12.0;18.0;11.0;19.0;13.0;13.0;14.0;14.0;18.0;23.0;12.0;14.0;13.0;12.0;13.0;14.0;19.0;14.0;11.0;11.0;8.0;7.0;11.0;7.0;7.0;7.0;7.0;9.0;7.0;8.0;12.0;7.0;7.0;7.0;7.0;7.0;7.0;12.0;8.0;7.0;1861.6363636363637;786.0;1061.7142857142856;1274.0;939.2857142857143;953.4285714285716;1358.142857142857;1114.7142857142858;1434.7777777777776;1132.0;1100.875;1095.583333333333;942.857142857143;1227.857142857143;1112.0;1461.0;1401.5714285714284;1080.5714285714284;1946.2500000000002;1324.4999999999998;1058.5714285714284;1676.7272727272725;1892.75;1329.9999999999998;1297.8181818181818;1592.0;1193.5714285714287;1310.0;1136.7142857142858;1141.333333333333;1670.428571428571;1089.375;1153.1666666666667;1052.5714285714287;1128.0;1295.2857142857144;1412.7142857142856;1065.0;1893.2857142857144;1487.416666666667;1834.5000000000002;1241.8571428571427
4;4;3;Combined Feedback;1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.580000000000005;53.655;44.742;42.88;41.002;34.113;28.345;38.195;26.207;23.879;31.456000000000003;29.935;40.066;30.630000000000003;24.573;29.428;24.377;25.842;25.059;28.679;35.207;14.0;18.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;13.0;14.0;14.0;14.0;18.0;14.0;18.0;14.0;14.0;14.0;14.0;18.0;10.0;15.0;12.0;13.0;11.0;10.0;8.0;11.0;8.0;8.0;9.0;10.0;11.0;9.0;9.0;9.0;7.0;8.0;9.0;8.0;10.0;1186.9;1211.5333333333333;1204.75;995.6153846153845;1495.909090909091;1188.8999999999999;1509.3750000000002;1115.9999999999998;1244.7499999999998;1194.8750000000002;983.6666666666667;975.7999999999998;1188.2727272727273;1148.6666666666667;1263.888888888889;1176.2222222222222;1561.0;1313.6250000000002;1038.1111111111113;1369.375;1202.8;2064.4;2031.9333333333334;2459.75;1837.384615384615;2077.4545454545455;1630.0000000000002;1223.5;1380.4545454545453;1157.7500000000002;1649.75;1104.6666666666665;1144.9000000000003;1333.1818181818182;1328.888888888889;1447.5555555555557;1103.111111111111;1163.0000000000002;1220.375;1192.4444444444446;1242.6250000000002;2097.5
5;4;0;No Feedback;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.385000000000005;25.033;34.359;38.298;28.871;28.933000000000003;26.180000000000003;47.837;27.009;32.202000000000005;38.088;29.147;38.118;30.524;28.309;21.719;36.188;28.986;28.148000000000003;46.951;28.537000000000003;15.0;13.0;16.0;24.0;18.0;15.0;18.0;22.0;13.0;22.0;17.0;14.0;24.0;20.0;11.0;14.0;22.0;18.0;14.0;30.0;14.0;9.0;7.0;8.0;11.0;8.0;8.0;8.0;14.0;9.0;7.0;10.0;8.0;9.0;9.0;7.0;7.0;8.0;7.0;7.0;10.0;7.0;1048.4444444444446;1045.142857142857;1071.5;681.8181818181818;936.375;778.1250000000001;768.125;693.2857142857143;656.0000000000001;745.5714285714288;846.1;811.7499999999999;510.3333333333333;748.5555555555554;1349.4285714285713;823.7142857142857;709.5;765.0;1023.0000000000001;650.2000000000002;1048.142857142857;1640.1111111111113;1584.4285714285716;1447.5;1657.6363636363635;1306.375;1265.125;1121.25;1662.7857142857147;1273.4444444444446;1191.7142857142856;1435.9;1412.75;1360.4444444444446;1386.8888888888891;1782.5714285714284;1252.5714285714287;1450.5000000000002;1431.714285714286;1734.5714285714284;1215.1000000000001;1959.0000000000002
6;4;1;Tactile Feedback;0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2.0;0.0;0.0;0.0;0.0;26.770000000000003;19.847;40.535;69.818;86.59;33.080000000000005;41.656000000000006;30.209000000000003;32.494;23.848000000000003;46.566;48.563;38.0;22.461;36.307;35.281;21.257;53.545;25.659;24.758000000000003;22.781;18.0;13.0;30.0;45.0;45.0;16.0;16.0;13.0;18.0;13.0;29.0;18.0;14.0;13.0;20.0;17.0;13.0;28.0;16.0;17.0;16.0;8.0;7.0;9.0;14.0;17.0;8.0;11.0;9.0;8.0;7.0;7.0;10.0;10.0;7.0;8.0;9.0;7.0;11.0;7.0;8.0;8.0;926.25;880.1428571428572;650.4444444444445;1002.7857142857142;907.7058823529412;1044.7499999999998;990.2727272727273;1132.888888888889;983.6250000000001;1253.0;1036.2857142857142;845.0999999999998;941.4000000000001;1043.5714285714287;1091.75;940.5555555555555;991.8571428571428;1004.3636363636364;1072.8571428571427;883.1249999999999;781.875;1126.75;1142.4285714285713;1039.6666666666667;1662.3571428571427;1283.5882352941178;1892.75;1740.6363636363637;1286.888888888889;1186.25;1345.2857142857144;1441.857142857143;2659.2000000000003;1997.9;1298.857142857143;1109.1250000000002;1448.6666666666667;1181.1428571428573;1556.727272727273;1402.1428571428573;1071.5000000000002;1034.6250000000002
7;4;2;Visual Feedback;1;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.455;26.527;22.994;22.079;27.338;18.754;18.731;25.102;25.507;19.631;26.624;23.579;30.360000000000003;20.012;28.977;28.808000000000003;50.568000000000005;28.202;22.273;29.055000000000003;29.309;14.0;16.0;13.0;13.0;14.0;13.0;13.0;13.0;18.0;14.0;15.0;16.0;14.0;13.0;13.0;13.0;30.0;20.0;14.0;14.0;14.0;8.0;8.0;7.0;8.0;8.0;7.0;7.0;9.0;8.0;7.0;9.0;8.0;8.0;7.0;8.0;8.0;15.0;9.0;7.0;9.0;9.0;1381.0;1058.125;1213.8571428571427;922.375;1197.5;906.7142857142858;946.7142857142859;830.2222222222223;1019.5000000000001;1177.8571428571427;937.4444444444445;878.375;1134.125;1274.8571428571431;1282.6250000000002;1708.8750000000002;929.7333333333335;1014.3333333333335;1320.857142857143;1165.888888888889;1038.6666666666667;1542.7500000000002;1299.5;1332.5714285714284;1550.0;1255.25;1207.7142857142858;1007.2857142857143;1334.5555555555557;1079.3750000000002;896.5714285714288;1252.4444444444448;1154.875;1593.25;947.0000000000001;1241.4999999999998;1169.375;1920.7333333333333;1240.777777777778;1154.7142857142858;1652.9999999999998;1326.3333333333333
8;5;3;Combined Feedback;1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-5.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;44.433;19.768;25.772;31.124;30.566000000000003;33.785000000000004;27.587000000000003;41.076;19.256;23.535;40.38;48.147000000000006;32.120000000000005;21.264000000000003;21.501;27.56;39.029;31.576;29.113000000000003;22.179;40.815000000000005;19.0;9.0;15.0;13.0;10.0;16.0;11.0;19.0;10.0;12.0;17.0;19.0;18.0;9.0;9.0;12.0;19.0;13.0;12.0;12.0;16.0;8.0;7.0;8.0;9.0;8.0;12.0;8.0;11.0;7.0;7.0;11.0;15.0;10.0;7.0;8.0;8.0;8.0;8.0;8.0;7.0;11.0;1183.5;414.14285714285717;713.1250000000001;698.4444444444445;682.0;429.58333333333326;583.25;728.4545454545455;680.7142857142857;472.0000000000001;746.4545454545456;596.9333333333334;536.7;515.1428571428571;475.49999999999994;738.625;857.0000000000001;822.5;848.3750000000001;661.7142857142858;734.4545454545454;2309.75;1295.9999999999998;1371.25;1407.3333333333333;1564.3749999999998;1349.9999999999998;1618.0;1593.3636363636365;1201.1428571428573;1445.4285714285716;1549.5454545454543;1560.1999999999998;1351.9999999999998;1408.7142857142858;1699.5;2345.75;2025.5;1814.875;2351.375;1464.8571428571431;1885.3636363636367
